Driver,LapNumber,PitInTime,PitOutTime
VER,11.0,0 days 01:17:23.948000,
VER,41.0,0 days 02:16:41.355000,
GAS,11.0,0 days 01:17:34.025000,
GAS,41.0,0 days 02:16:43.664000,
ANT,2.0,0 days 01:00:08.067000,
ANT,9.0,0 days 01:14:14.745000,
ANT,20.0,0 days 01:39:25.387000,
ANT,23.0,0 days 01:46:02.187000,
ALO,11.0,0 days 01:17:35.022000,
ALO,37.0,0 days 02:09:54.708000,
LEC,10.0,0 days 01:15:56.680000,
LEC,42.0,0 days 02:18:30.020000,
STR,6.0,0 days 01:08:23.537000,
STR,10.0,0 days 01:15:44.281000,
STR,41.0,0 days 02:16:37.690000,
TSU,11.0,0 days 01:17:43.967000,
TSU,41.0,0 days 02:17:18.191000,
ALB,12.0,0 days 01:19:31.664000,
ALB,42.0,0 days 02:18:33.848000,
HUL,9.0,0 days 01:14:00.711000,
HUL,42.0,0 days 02:18:02.637000,
OCO,18.0,0 days 01:34:05.049000,
OCO,42.0,0 days 02:18:36.551000,
NOR,11.0,0 days 01:17:22.431000,
NOR,44.0,0 days 02:20:48.417000,
HAM,11.0,0 days 01:17:32.787000,
HAM,41.0,0 days 02:16:24.964000,
SAI,11.0,0 days 01:17:36.614000,
SAI,41.0,0 days 02:16:52.699000,
HAD,10.0,0 days 01:16:02.226000,
RUS,10.0,0 days 01:15:50.497000,
RUS,38.0,0 days 02:11:36.329000,
PIA,11.0,0 days 01:17:14.916000,
PIA,43.0,0 days 02:19:06.693000,
BEA,10.0,0 days 01:16:04.657000,
BEA,41.0,0 days 02:16:53.990000,
